start_date	gating_id
2024-01-13T23:00:00+00:00	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
2024-01-14T23:00:00+00:00	4d8d8e3a-7eb7-4b53-8f45-cbea222af985
2024-01-15T23:00:00+00:00	e26c436c-f0c3-41bf-bdb9-f2a89af7d4a1
2024-01-16T23:00:00+00:00	dea1295d-e5a1-494c-ad9a-4641a7b55c74
2024-01-17T23:00:00+00:00	0c5b1a54-4f0e-4082-a25b-dc9a886cf02e
2024-01-18T23:00:00+00:00	e29cb5d7-1344-4a8f-b3f3-c53af5780695
2024-01-19T23:00:00+00:00	3445e921-0b84-4119-b825-51ed7849203f
2024-01-20T23:00:00+00:00	1406a14e-ef52-4dbc-a6a5-067d0b4e8872
2024-01-21T23:00:00+00:00	45597d15-8701-46b3-9ab2-163533956171
2024-01-22T23:00:00+00:00	3aa52479-3c9d-4e3f-b7a9-0c5ae6d3347e
